Brand,Variety,Style,Country,Stars,spiciness,spiciness_2,Scoville,continent
MIT,Shallot Sauce Dry Noodle,Pack,Taiwan,3,pepper free,pepper free,0,Asia
Charming Couple,Biang Biang Scallion Chicken Sauce,Pack,Taiwan,4.5,pepper free,pepper free,0,Asia
Hi Lai Foods,Lai Noodle Vegan Sesame Paste Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Ve Wong,Artificial Peppered Beef Flavor,Pack,Taiwan,3.5,pepper free,mild,"(100, 2500)",Asia
iNoodle,Flat Noodle Soy Sauce Flavor,Pack,Taiwan,3.25,pepper free,mild,"(100, 2500)",Asia
Shin Horng,Pot Burn Noodles Taiwanese Minced Pork Flavor,Pack,Taiwan,2.25,pepper free,mild,"(100, 2500)",Asia
Ve Wong,Artificial Chicken & Pork Flavor Instant Noodle,Pack,Taiwan,4,pepper free,pepper free,0,Asia
iNoodle,Udon Cooked Noodles House Special Flavor,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Thai Town,Tom Yum Flavor Noodles,Pack,Taiwan,5,pepper free,hot,"(10000, 50000)",Asia
Mom's Dry Noodle,Red-Braised Beef Noodle Soup,Box,Taiwan,4,pepper free,pepper free,0,Asia
Liitle Couples,Fish Head Casserole,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Little Couples,Chicken Rice Flavor Dry Noodle,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Yi Lai Shuen,Kinmen Thin Noodles - Sesame Oil Flavor,Pack,Taiwan,4.75,pepper free,mild,"(100, 2500)",Asia
Mom's Dry Noodle,Scallop & Hua Diao Wine Chicken Noodle Soup,Box,Taiwan,5,pepper free,pepper free,0,Asia
Kung Fu Noodles,Premium Black Sesame Oil With Mashed Ginger,Pack,Taiwan,5,pepper free,mild,"(100, 2500)",Asia
Kung Fu Noodles,Premium Goose Oil With Crispy Shallot Flakes,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Kung Fu Noodles,Premium Goose Oil With Sichuan Pepper & Hot Chili,Pack,Taiwan,5,hot,hot,"(10000, 50000)",Asia
Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Super God,God Noodles Sichuan Spicy & Scallion Flavor,Pack,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
A-Sha,LaoTao Beef & Tendon Noodle,Box,Taiwan,5,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Scallion & Sichuan Pepper,Pack,Taiwan,5,pepper free,pepper free,0,Asia
"PLN Food Co, Ltd.",Vegetable Witrh Noodle,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Pepper Sesame Flavor,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Toona Sauce With Sichuan Pepper,Pack,Taiwan,4,pepper free,pepper free,0,Asia
A-Sha,Hakka Noodle Original Sauce,Pack,Taiwan,5,pepper free,pepper free,0,Asia
"PLN Food Co, Ltd.",Cold Udon Noodle,Pack,Taiwan,4,pepper free,pepper free,0,Asia
"PLN Food Co, Ltd.",Crisp Shallot Noodle,Pack,Taiwan,4.5,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Spicy Oil Dandan Noodle,Pack,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
"PLN Food Co, Ltd.",Miso Ramen,Pack,Taiwan,5,pepper free,pepper free,0,Asia
"PLN Food Co, Ltd.",Sesame Paste Noodle,Pack,Taiwan,5,pepper free,pepper free,0,Asia
TTL,Table Wine Carved Chicken Noodle Bowl,Bowl,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha,Dandan Noodle,Pack,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha,Hakka Noodle Chilli Sauce ,Pack,Taiwan,4.5,pepper free,pepper free,0,Asia
Noodles Accompanied By Happiness,Pepper Sesame,Pack,Taiwan,4.25,pepper free,pepper free,0,Asia
Noodles Accompanied By Happiness,Red Oil Sesame Paste,Pack,Taiwan,4.5,pepper free,pepper free,0,Asia
Noodles Accompanied By Happiness,Fragrant In Original Taste,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Noodles Accompanied By Happiness,Sesame Paste,Pack,Taiwan,4.75,pepper free,pepper free,0,Asia
Wei Lih,Wei Lih Men Ma Jiang,Pack,Taiwan,4.5,pepper free,pepper free,0,Asia
Hi-Lai Foods,Lai Noodle,Pack,Taiwan,5,pepper free,pepper free,0,Asia
"PLN Food Co, Ltd.",Spicy Paste Noodle,Pack,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
"PLN Food Co, Ltd.",Classic Dry Noodle,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Kormosa,Kiss My Food Vegetable Noodles,Pack,Taiwan,4,pepper free,pepper free,0,Asia
Mom's Dry Noodle,Sichuan Spicy Duck Blood Bean Vermicelli,Box,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
Kormosa,Kiss My Food Shrimp Instant Noodles,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Ve Wong,Instant Oriental Noodles Soup - Chinese Herb - Angelica Flavor,Pack,Taiwan,2,pepper free,pepper free,0,Asia
Little Couples,Dry Noodle Sesame Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Ve Wong,Dah Wei Wang Instant Noodles Artificial House Beef Flavor,Bowl,Taiwan,2,pepper free,mild,"(100, 2500)",Asia
Taihodien,Spicy Sesame Noodles,Pack,Taiwan,4.25,spicy,spicy,"(2500, 10000)",Asia
Ve Wong,Instant Oriental Noodles Soup Chinese Herb - Ginseng,Pack,Taiwan,3.75,pepper free,pepper free,0,Asia
Little Couples,Dry Noodle - Onion,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Taihodien,Green Chilli Paste Noodle,Pack,Taiwan,0,pepper free,pepper free,0,Asia
Wu Mu,Mandashi Sakura Shrimp Scallion Oil Noodle,Box,Taiwan,4,pepper free,pepper free,0,Asia
Shin Horng,Hon's Dry Noodles Traditional Sichuan Chilli Flavor,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Wei Lih,Spicy Vegan Noodle,Bowl,Taiwan,4,spicy,spicy,"(2500, 10000)",Asia
Wu Mu,Mandashi Mala Spicy Noodle,Box,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
Eight Field,Spicy Peanut Paste Noodle,Pack,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
A-Sha,Rainbow Noodles,Box,Taiwan,5,pepper free,pepper free,0,Asia
Three Meters,Soybean Flavor Belt Noodles,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Shuang Ren Hsu,Famous Chinese Noodles Sesame & Peanuts,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Three Meters,Pepper Sesame Belt Noodles,Pack,Taiwan,5,pepper free,pepper free,0,Asia
Chef Nic's Noodles,Hot & Spicy Flavour Noodle Soup,Box,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
Ve Wong,KUNG-FU Instant Oriental Noodle Soup Artificial Soybean Paste Flavor,Pack,Taiwan,4.5,pepper free,pepper free,0,Asia
Teishi,Shaoxing Nuerhong Wine Noodles,Pack,Taiwan,3.5,pepper free,pepper free,0,Asia
Teishi,Old Wine Instant Noodles,Pack,Taiwan,5,pepper free,pepper free,0,Asia
A-Sha,Jin Kung Fu Spicy Scallion Noodle,Pack,Taiwan,5,spicy,spicy,"(2500, 10000)",Asia
Uni-President,Imperial Big Meal Beef Flavour,Bowl,Taiwan,5,pepper free,pepper free,0,Asia
